id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP108767202,S,N,,,Corta-vento - Manchester United (2021/22),Corta-vento - Manchester United (2021/22),,,,,,N,,,,,,,,,Casacos,Corta Vento,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/3ee65a51-db37-416e-b828-7924834672b71-7e2fe6b1d4c13fe65016421395717813-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/5e31556e-6037-48be-b3d9-903e6126645a1-e677dc2a8fd163f89a16421395719239-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/771e9a39-32fa-499c-9b0b-0e1d1474fb761-cadbd6c69b6819f14416421395718800-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/a98bd1e8-5d71-457b-b093-a957271094a01-93c20bac2560e6a94616421395720185-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/7ffcd402-ae0c-45a4-9a01-e637c8285a011-5f3290fcb580f3ae1716421395720812-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP108767202,XP108767202-P,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP108767202,XP108767202-M,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP108767202,XP108767202-G,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP108767202,XP108767202-XG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP108767202,XP108767202-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP108767188,S,N,,,Corta-vento - São Paulo (2021/22),Corta-vento - São Paulo (2021/22),,,,,,N,,,,,,,,,Casacos,Corta Vento,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/31c3bc68-beed-451b-9042-06f2f4f07bd81-f5050378a8c5066ee416421394570433-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/e8d9c91a-8f3c-47f8-b28a-e81693c746611-44c8a53beeb151d6cb16421394572963-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d8ab2df6-a8cc-41bd-a3d4-bb5bd67380dc1-d490c2dbea9afce83416421394574379-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/493860bf-0fbe-4b36-abac-34e4c66306c81-3b754071ef4acc2b3d16421394576008-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/73913ec2-5d97-476f-aace-73001fc679901-54f7dfd57485b8dc3716421394574690-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP108767188,XP108767188-P,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP108767188,XP108767188-M,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP108767188,XP108767188-G,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP108767188,XP108767188-XG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP108767188,XP108767188-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP108766973,S,N,,,Corta-vento - Inter de Milão (2021/22),Corta-vento - Inter de Milão (2021/22),,,,,,N,,,,,,,,,Casacos,Corta Vento,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/b7a2fcd6-7c51-41e2-94dd-2cf042752e931-de203b187ee94b6b6916421392594142-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/c7c3f5a7-d22f-4e77-8c6f-d6e8bd91503f1-3f286bcf073d2b0c4316421392594097-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/bc92eeb1-ef9a-45bd-89c8-a15ac7a5aa201-6905b8b59bc45829d716421392595213-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/2aab4a1d-d1c9-446e-948f-cebdd0b962ba1-79797bbe022375479c16421392595748-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/2b8b7929-86cc-4eee-92e1-a43695ed44a31-bfeed0693dc826d6e916421392593212-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP108766973,XP108766973-P,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP108766973,XP108766973-M,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP108766973,XP108766973-G,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP108766973,XP108766973-XG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP108766973,XP108766973-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP108766687,S,N,,,Corta-vento - Arsenal (2021/22),Corta-vento - Arsenal (2021/22),,,,,,N,,,,,,,,,Casacos,Corta Vento,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/bfe76673-c8a4-4ee5-82d9-6fdf4f309dc81-3fd6b5654cc09de6d216421389702300-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/659bf6c8-ef2c-4abb-b0dd-5c9394b70f671-1cc4da790e4aa9132916421389701619-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/229090df-8e97-45a8-994e-91a8cd41867c1-e5ac3e70f5d494fd6416421389701602-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/8871c3ca-72ee-40ef-81e2-2cac6a4b3c581-806146588b78e4ed9416421389701510-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/db86d604-12c9-4937-b6ff-0fafcb6271131-7257e4bb2dfbd735af16421389702357-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP108766687,XP108766687-P,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP108766687,XP108766687-M,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP108766687,XP108766687-G,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP108766687,XP108766687-XG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP108766687,XP108766687-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP108766682,S,N,,,Corta-vento - Flamengo (2021/22),Corta-vento - Flamengo (2021/22),,,,,,N,,,,,,,,,Casacos,Corta Vento,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/b784c17d-36f8-4073-9afd-3d8fd354c33c1-7e9ef9458f175fda3816421388719298-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/30ea93d2-2dfa-4a78-b8ea-39eaf3f99cad1-5206504540de9c817216421388722206-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/f35df828-223b-493c-954e-281c858767261-31caddff63ff86754c16421388721979-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d58d05a8-a0ab-4175-af8d-cc3cf6dfd35f1-9792683ee5193d896616421388721529-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/0d447496-1c6f-4e01-8347-d61fcffb61941-3c259110a6adf12e1716421388719234-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP108766682,XP108766682-P,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP108766682,XP108766682-M,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP108766682,XP108766682-G,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP108766682,XP108766682-XG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP108766682,XP108766682-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,239.89999999999998,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
